,Oil Temparature,Oil Humidity,Tool Current Flow,FBC,Pressure Set Point,Production Count,Spoilage Count,Speed,Maintenance Faults,time_stamp
0,4.0,429.0,52.61026368384998,97.88804060818079,41805.609980975765,3458.0182990366393,4239.811579525944,78.05871430647335,7.780698850752957,2023-04-11 04:11:07.400629
1,4.0,429.0,19.939064791085958,93.82709458973058,50844.47155376931,2701.4479906964752,3212.521010062479,72.6498047178275,9.41426776791311,2023-04-11 05:11:07.400629
2,4.0,429.0,49.86357149857969,97.90909519132039,53623.528600415455,4259.473818320044,4316.882473581444,71.59861968156754,3.991217190355097,2023-04-11 06:11:07.400629
3,4.0,429.0,5.288414727713998,90.2792379766965,42264.604219487715,3553.9653549626732,3059.278714163271,75.22947419690827,6.645682608117144,2023-04-11 07:11:07.400629
4,4.0,429.0,46.07419868774326,91.55639668142365,44572.96249270949,3909.4606070398995,3845.122400006865,72.40420658319147,1.591059762900837,2023-04-11 08:11:07.400629
5,4.0,429.0,23.890841664558966,94.34546046197605,50858.3587990965,4154.402326058982,2794.192039030827,73.88309299640487,8.016716217080843,2023-04-11 09:11:07.400629
6,4.0,429.0,53.84741483595065,91.03621411775306,50342.586083676295,2331.351332878994,3145.2926743059666,75.23046854468588,9.867885344966194,2023-04-11 10:11:07.400629
7,4.0,429.0,23.620975766110696,87.61601317036653,47716.218984315696,3532.7436498268685,3013.382861526369,71.23133991782139,3.8017324075868064,2023-04-11 11:11:07.400629
8,4.0,429.0,14.47102890927937,95.36901390350734,48770.93625936709,3601.462607689308,2343.805538394908,71.28668049327511,1.7686349624819868,2023-04-11 12:11:07.400629
9,4.0,429.0,6.91006143154152,87.23196306339341,47762.49318658435,3848.852757215438,4075.142612210763,75.15015979268479,3.5689036819426576,2023-04-11 13:11:07.400629
10,4.0,429.0,24.175451725308132,98.94046025628006,49295.793252242394,3346.980266477247,2746.0778986443484,76.71212163037029,8.736240117915315,2023-04-11 14:11:07.400629
11,4.0,429.0,17.082611559936726,90.25690184764164,45094.17755835034,2393.663111407967,3288.4700008942664,70.69722061141069,2.2917863676217114,2023-04-11 15:11:07.400629
12,4.0,429.0,14.033914150391164,97.04091070591902,48788.258891150435,3694.3745090684315,2453.2534680183157,70.36939060376059,8.465516575669051,2023-04-11 16:11:07.400629
13,4.0,429.0,9.87247412022771,89.44412878995311,52450.05375109634,2160.623984537475,3968.147568913852,75.9515215043359,3.862306322507432,2023-04-11 17:11:07.400629
14,4.0,429.0,15.809228411233724,94.36212892092888,41268.48959099021,2722.4589020772137,2148.303678992582,70.4008947521255,9.800471405766336,2023-04-11 18:11:07.400629
15,4.0,429.0,6.113782273108544,96.07585690917888,39272.791529462906,3470.3647038819336,3021.092274330569,77.19079446810983,9.805593163568721,2023-04-11 19:11:07.400629
